1;Efectivo
2;Inversiones a corto plazo
3;Cuentas por cobrar
4;Notas por cobrar
5;Inventario
6;Trabajo en proceso
7;Gastos prepagos
8;Inversiones a largo plazo
9;Propiedades plantas y equipos
10;Depreciacion acumulada
11;Activos intangibles
12;Otros activos
13;Cuentas por pagar
14;Notas por pagar
15;Vencimientos actuales de deuda a largo plazo
16;Impuestos por pagar
17;Pago de interes
18;Dividendos por pagar
19;Arrendamientos por pagar (actuales)
20;Fondo de amortizacion por pagar (corriente)
21;Otras obligaciones corrientes
22;Deudas la largo plazo
23;Acciones comunes
24;Acciones preferidas
25;Capital pagado adicional - comun
